Current sim time, airport, event name, airplane id, runway queue size, gate queue size, baggage cart queue size, fuel truck queue size
0.000000, Airport1, AcquireRunwayLand, 1.1, 0, 0, 0, 0, 
0.000000, Airport1, Land, 1.1, 0, 0, 0, 0, 
1.000000, Airport1, AcquireRunwayLand, 1.2, 0, 0, 0, 0, 
2.000000, Airport1, AcquireRunwayLand, 1.3, 1, 0, 0, 0, 
3.000000, Airport1, AcquireRunwayLand, 1.4, 2, 0, 0, 0, 
4.000000, Airport1, AcquireRunwayLand, 1.5, 3, 0, 0, 0, 
4.520532, Airport1, Taxi2Gate, 1.1, 4, 0, 0, 0, 
4.520532, Airport1, Land, 1.2, 3, 0, 0, 0, 
5.000000, Airport1, AcquireRunwayLand, 1.6, 3, 0, 0, 0, 
6.000000, Airport1, AcquireRunwayLand, 1.7, 4, 0, 0, 0, 
7.000000, Airport1, AcquireRunwayLand, 1.8, 5, 0, 0, 0, 
8.000000, Airport1, AcquireRunwayLand, 1.9, 6, 0, 0, 0, 
9.000000, Airport1, AcquireRunwayLand, 1.10, 7, 0, 0, 0, 
9.271004, Airport1, AcquireGate, 1.1, 8, 0, 0, 0, 
9.271004, Airport1, DockAtGate, 1.1, 8, 0, 0, 0, 
9.946091, Airport1, Taxi2Gate, 1.2, 8, 0, 0, 0, 
9.946091, Airport1, Land, 1.3, 7, 0, 0, 0, 
10.935886, Airport1, ArriveGate, 1.1, 7, 0, 0, 0, 
10.935886, Airport1, UnloadLuggage, 1.1, 7, 0, 0, 0, 
10.935886, Airport1, FuelPlane, 1.1, 7, 0, 0, 0, 
13.994483, Airport1, AcquireGate, 1.2, 7, 0, 0, 0, 
14.731161, Airport1, Taxi2Gate, 1.3, 7, 1, 0, 0, 
14.731161, Airport1, Land, 1.4, 6, 1, 0, 0, 
18.832852, Airport1, StartClean, 1.1, 6, 1, 0, 0, 
18.990673, Airport1, AcquireGate, 1.3, 6, 1, 0, 0, 
20.476975, Airport1, Taxi2Gate, 1.4, 6, 2, 0, 0, 
20.476975, Airport1, Land, 1.5, 5, 2, 0, 0, 
24.549697, Airport1, LoadLuggage, 1.1, 5, 2, 0, 0, 
24.841532, Airport1, AcquireGate, 1.4, 5, 2, 0, 0, 
24.945722, Airport1, Taxi2Gate, 1.5, 5, 3, 0, 0, 
24.945722, Airport1, Land, 1.6, 4, 3, 0, 0, 
28.419989, Airport1, AcquireGate, 1.5, 4, 3, 0, 0, 
29.043533, Airport1, Taxi2Gate, 1.6, 4, 4, 0, 0, 
29.043533, Airport1, Land, 1.7, 3, 4, 0, 0, 
29.638480, Airport1, StartEmbark, 1.1, 3, 4, 0, 0, 
30.816565, Airport1, ReleaseFuelTruck, 1.1, 3, 4, 0, 0, 
30.816565, Airport1, LeaveGate, 1.1, 3, 4, 0, 0, 
33.550442, Airport1, AcquireGate, 1.6, 3, 4, 0, 0, 
34.194726, Airport1, Taxi2Gate, 1.7, 3, 5, 0, 0, 
34.194726, Airport1, Land, 1.8, 2, 5, 0, 0, 
38.044778, Airport1, AcquireGate, 1.7, 2, 5, 0, 0, 
39.559004, Airport1, Taxi2Gate, 1.8, 2, 6, 0, 0, 
